Location Name,Work Performed Date,Location Address,Issue,Description,Labor Cost,Material Cost,Total Cost,Location
Phalen Beach House,06/16/2014,1400 Phalen Dr.,Graffiti,Graffiti on on door and plaza area,108.40,24.00,132.40,"(44.9838, -93.0556)"
Arlington Arkwright,06/16/2014,400 Arlington Ave E,Graffiti,Graffiti on play court surfaces,108.40,19.00,127.40,"(44.9845, -93.0836)"
Lockwood Park,06/17/2014,901 E. Cook Ave.,Graffiti,Graffiti on the sidewalk,54.20,14.50,68.70,"(44.973, -93.0624)"
Lexington Pkwy,06/19/2014,350 Lexington Parkway North,Graffiti,Graffiti in the tunnel,60.35,28.31,88.66,"(44.9517, -93.1464)"
Hidden Falls,06/20/2014,1415 Mississippi River Blvd,Graffiti,Graffiti in the mens restroom,54.20,14.50,68.70,"(44.9065, -93.1893)"
Wacouta Commons,06/20/2014,465 Wacouta St,Graffiti,Graffiti on the tot lot climbing wall,27.10,12.25,39.35,"(44.9519, -93.0895)"
Groveland Rec (New),06/25/2014,2021 St. Clair Ave.,Graffiti,Graffiti on the tennis court,108.40,29.00,137.40,"(44.9344, -93.1857)"
Highland Park,06/26/2014,1247 Montreal Ave.,Graffiti,Graffiti on the shelter and totlot,54.20,14.50,68.70,"(44.9125, -93.153)"
Frost Lake,06/26/2014,1421 Hoyt Ave E,Graffiti,Graffiti on the garage  and playground wall,108.40,34.00,142.20,"(44.9884, -93.0404)"
Citywide Graffiti,07/01/2014,Edmund Ave W and N Farrington St,Graffiti,Graffiti on sidewalk at Farrington and Edmund,60.35,23.31,83.66,"(44.9585, -93.1134)"
Citywide Graffiti,07/02/2014,947 Arcade St,Graffiti,Graffiti on sidewalk between 947 and 959 Arcade,60.35,23.31,83.66,"(44.9699, -93.0661)"
MRB,07/02/2014,418 Summit Ave,Graffiti,Graffiti on the railing  and sidewalk near the summit monument,54.20,4.50,58.70,"(44.9415, -93.1175)"
Swede Hollow,07/09/2014,651 Greenbrier St. E.,Graffiti,Graffiti in the ped tunnel,60.35,3.31,63.66,"(44.9606, -93.0711)"
Cayuga,07/11/2014,198 Cayuga St.,Graffiti,Graffiti on the tolt lot,54.20,14.50,68.70,"(44.967, -93.092)"
Linwood,07/14/2014,860 St. Clair Ave.,Graffiti,Graffiti on the south end of the building and pation area,108.40,49.00,157.40,"(44.9341, -93.1364)"
McDonough,07/15/2014,1574 Timber Lake Rd.,Graffiti,Graffti on the tot lot,54.20,24.50,78.70,"(44.9893, -93.0934)"
College,07/15/2014,2223 Carter Ave,Graffiti,Graffiti on the slide pole,108.40,29.00,137.40,"(44.9814, -93.1944)"
Bruce Vento,07/16/2014,265 Commerical St,Graffiti,Graffiti on the Commercial Street bldg.,162.60,73.50,236.10,"(44.9527, -93.0739)"
Swede Hollow,07/17/2014,651 Greenbrier St. E.,Graffiti,Graffiti in the ped tunnel,60.35,23.31,83.66,"(44.9606, -93.0711)"
Raspberry Island,07/17/2014,2 Wabasha St S,Graffiti,Graffiti on the far est benches,108.40,29.00,137.40,"(44.9422, -93.0911)"
Cherokee,07/17/2014,700 Cherokee Heights Boulevard,Graffiti,Graffiit on Cherokee Blve between Smith and Ohio,54.20,24.50,78.70,"(44.9243, -93.1074)"
Groveland,07/18/2014,2021 St. Clair Ave.,Graffiti,Graffiti on the Basketball court,81.30,26.75,108.05,"(44.9344, -93.1857)"
Langford,07/23/2014,30 Langford Park,Graffiti,Graffiti on the small slide,81.30,26.75,108.05,"(44.9765, -93.1957)"
Langford,07/24/2014,30 Langford Park,Graffiti,Graffiti on the concrete walls and dumpster,81.30,26.75,108.05,"(44.9765, -93.1957)"
Front Skatepark,07/25/2014,485 Stinson St.,Graffiti,Graffiti on old skate ramps,108.40,39.00,147.40,"(44.9693, -93.1205)"
Raspberry Island,07/25/2014,2 Wabasha St S,Graffiti,Graffiti on more benches,81.30,26.75,108.05,"(44.9422, -93.0911)"
Lilydale,07/25/2014,400 Water St,Graffiti,Graffiti on park sign monumnet,216.80,58.00,274.80,"(44.932, -93.1018)"
Swede Hollow,07/28/2014,651 Greenbrier St. E.,Graffiti,Graffiti in the ped tunnel,30.17,11.65,41.83,"(44.9606, -93.0711)"
Bluff Park,07/28/2014,678 Brown Ave,Graffiti,Graffiti on wood park sign,60.35,18.31,78.66,"(44.9259, -93.0701)"
Groveland,07/29/2014,2021 St. Clair Ave.,Graffiti,Graffiti on building,54.20,24.50,78.70,"(44.9344, -93.1857)"
Como Pool,07/31/2014,1156 Horton Ave.,Graffiti,Graffiti on the benches,54.20,24.50,78.70,"(44.9777, -93.1433)"
High Bridge,07/31/2014,476 Smith Ave,Graffiti,Graffiti on bridge overlook,54.20,14.50,68.70,"(44.9374, -93.1091)"
Bluff Park,07/31/2014,678 Brown Ave,Graffiti,Graffiti on benches and sign,27.00,39.00,147.40,"(44.9258, -93.0701)"
Como Regional,08/04/2014,1281 W. Como Blvd.,Graffiti,Graffiti throughout woodlands classroom,27.10,22.25,49.35,"(44.9776, -93.1539)"
Front Skatepark,08/04/2014,485 Stinson St.,Graffiti,Graffiti on the skate park,27.10,12.25,39.35,"(44.9693, -93.1205)"
Front Skatepark,08/05/2014,485 Stinson St.,Graffiti,Graffit on old skate park,27.10,12.25,39.35,"(44.9693, -93.1205)"
Como Regional,08/05/2014,1281 W. Como Blvd.,Graffiti,Graffiti throughout woodlands classroom,54.20,34.50,88.70,"(44.9776, -93.1539)"
Harriet Island,08/05/2014,50 Harriet Island,Graffiti,Graffiti on the drinking fountain and levy,54.20,14.50,68.70,"(44.9401, -93.0932)"
Ames Lake,08/05/2014,1380 Magnolia Ave E,Graffiti,graffiti on the fishing pier,54.20,14.50,68.70,"(44.9739, -93.0422)"
Hidden Falls,08/06/2014,1415 Mississippi River Blvd,Graffiti,Graffiti on benches and pathways,54.20,24.50,78.70,"(44.9065, -93.1893)"
Highland Picnic,08/08/2014,1200 Montreal Ave.,Graffiti,Graffiti on picnic tables and play area,54.20,35.50,88.70,"(44.9124, -93.1513)"
Mounds Park,08/08/2014,185 Mounds Blvd.,Graffiti,Graffiti on play area and picnic area,54.20,14.50,68.70,"(44.9501, -93.0679)"
Kellogg,08/12/2014,42 E. Kellogg Blvd.,Graffiti,Graffiti on drinking fountain and trash totes,54.20,14.50,68.70,"(44.9445, -93.0914)"
Battle Creek,08/12/2014,75 South Winthrop,Graffiti,Graffiti on electrical panel at Upper Afton Rd,108.40,34.00,142.40,"(44.9385, -93.01)"
Lexington Pkwy,08/12/2014,476 Smith Ave,Graffiti,Graffiti on 476 Smith Ave control boxes,30.17,11.66,41.83,"(44.9374, -93.1091)"
Central Services,08/13/2014,1100 N. Hamline Ave.,Graffiti,Graffiti on loading entrance sidewalk,60.35,33.31,93.66,"(44.9752, -93.1569)"
Castillo Park,08/13/2014,141 Concord St.,Graffiti,Graffiti on the picnic tables,54.20,14.50,68.70,"(44.889787, -93.033112)"
Pickeral Lake,08/13/2014,400 Water St,Graffiti,Graffiti on parking lot swing gates,54.20,14.50,68.70,"(44.932, -93.1018)"
Citywide Graffiti,08/14/2014,220 Larry Ho Dr E,Graffiti,Graffiti in road in front of 220 Larry Ho Drive,60.35,33.31,93.66,"(44.9438, -93.0101)"
Cityhouse,08/14/2014,258 Mill St,Graffiti,Graffiti on entrance door and garage doors,54.20,14.50,68.70,"(44.9391, -93.1004)"
Citywide Graffiti,08/14/2014,Baker St W and Manomin Ave,Graffiti,Graffiti on the sidewalk at Baker and Manomin,60.35,33.31,93.66,"(44.9266, -93.1007)"
Prospect Park,08/15/2014,399 Bellows St.,Graffiti,"Graffiti on drinking fountain, picnic tables, and benches",54.20,34.50,88.70,"(44.9339, -93.0934)"
Bay & Tucarora,08/15/2014,616 Bay,Graffiti,Graffiti on the drinking fountain,54.20,14.50,68.70,"(44.9228, -93.1306)"
High Bridge,08/15/2014,476 Smith Ave,Graffiti,Graffiti on the drinking fountain,54.20,24.50,78.70,"(44.9374, -93.1091)"
Harriet Island,08/19/2014,50 Harriet Island,Graffiti,Graffiti on levy entrance,54.20,14.50,68.70,"(44.9401, -93.0932)"
Harriet Island,08/19/2014,50 Harriet Island,Graffiti,Graffiti on the target stage,433.60,136.00,569.60,"(44.9401, -93.0932)"
Lexington Pkwy,08/19/2014,350 Lexington Parkway North,Graffiti,Graffiti oon the pedestrian bridge over Pierce Butler,54.20,24.50,78.70,"(44.9517, -93.1464)"
Front Skatepark,08/22/2014,485 Stinson St.,Graffiti,Graffiti in the womens restroom,54.20,14.50,68.70,"(44.9693, -93.1205)"
Wacouta Commons,08/22/2014,465 Wacouta St,Graffiti,Graffiti on the sidewalk,54.20,14.50,68.70,"(44.9519, -93.0895)"
Furness Pkwy,08/22/2014,2136 Larpenteur Ave E,Graffiti,Graffiti on the pathway,54.20,14.50,68.70,"(44.9919, -93.0104)"
Heritage Park,08/22/2014,735 Phalen Blvd,Graffiti,"Graffiti along bldg roof line, sidewalk",54.20,14.50,68.70,"(44.9659, -93.0695)"
Raspberry Island,08/26/2014,2 Wabasha St S,Graffiti,Graffiti on the bandshell,54.20,14.50,68.70,"(44.9422, -93.0911)"
Como Lakeside Pav,08/27/2014,1360 N. Lexington Pkwy.,Graffiti,Graffiti in mens restroom,27.10,12.25,39.25,"(44.9821, -93.1461)"
Highland Picnic,08/29/2014,1200 Montreal Ave.,Graffiti,Graffiti on the bridge and picnic tables,54.20,14.50,68.70,"(44.9124, -93.1513)"
Groveland,08/29/2014,1961 St. Clair Ave.,Graffiti,Graffiti on the warmning houde,54.20,14.50,68.70,"(44.9344, -93.1832)"
Duluth & Case,08/29/2014,1020 Duluth St.,Graffiti,Graffiti on windows and doors,229.10,55.62,284.72,"(44.9721, -93.0507)"
Mattocks Park,08/29/2014,451 Macalester,Graffiti,Graffiti on the picnic tables,54.20,14.50,68.70,"(44.9279, -93.1697)"
Battle Creek,09/02/2014,75 South Winthrop,Graffiti,Graffiti on the light poles near the building,54.20,14.50,68.70,"(44.9385, -93.01)"
Mounds Park,09/05/2014,1072 Thorn St.,Graffiti,Graffiti on the picnic tables near the ball field,115.61,27.81,143.42,"(44.9473, -93.0553)"
Harriet Island,09/05/2014,50 Harriet Island,Graffiti,Graffiti on the sidewalk,54.20,10.00,64.20,"(44.9401, -93.0932)"
Newell Park,09/05/2014,900 N. Fairview Ave.,Graffiti,Graffiti on the dumpster,162.60,51.72,214.32,"(44.968, -93.1759)"
Mounds Park Pav,09/05/2014,185 Mounds Blvd.,Graffiti,Graffiti on the echo overlook,108.40,29.00,137.40,"(44.9501, -93.0679)"
Hidden Falls (S),09/05/2014,1415 Mississippi River Blvd,Graffiti,Graffiti throughout the park,114.55,27.81,142.36,"(44.9065, -93.1893)"
Citywide Graffiti,09/08/2014,Front Ave and Chatsworth St N,Graffiti,Graffiti on the sidewalk at Front and Chatsworth,60.35,28.31,88.66,"(44.9702, -93.1415)"
Highland Picnic,09/10/2014,1200 Montreal Ave.,Graffiti,Graffiti on the tot lot slides,54.20,14.50,68.70,"(44.9124, -93.1513)"
Boyd Park,09/10/2014,346 Dayton Ave. N.,Graffiti,Graffiti on the picnic tables,54.20,14.50,68.70,"(44.9473, -93.1146)"
Heritage Park,09/10/2014,735 Phalen Blvd,Graffiti,Graffiti on the side walk,57.27,23.90,81.18,"(44.9659, -93.0695)"
Citywide Graffiti,09/10/2014,St Anthony Ave and Beacon Ave,Graffiti,Graffiti on the pole at St. Anthony and Beacon,30.17,1.65,31.83,"(44.9525, -93.1759)"
Edgcumbe,09/17/2014,320 S. Griggs St.,Graffiti,Graffiti near ball field #3,54.20,14.50,68.70,"(44.9318, -93.1516)"
Front,09/17/2014,485 Stinson St.,Graffiti,Graffiti on the skate park,54.20,14.50,68.70,"(44.9693, -93.1205)"
Cochran,09/18/2014,56 N. Western Ave.,Graffiti,Graffiti on benchnorth of fountain,54.20,14.50,68.70,"(44.9431, -93.116)"
Hidden Falls (S),09/18/2014,1415 Mississippi River Blvd,Graffiti,"Graffiti on the light poles, load n packs, and benches",54.20,24.50,78.70,"(44.9065, -93.1893)"
Frog Town Farms,09/18/2014,946 Minnehaha Ave W,Graffiti,Graffiti on the tot lot,54.20,24.50,78.70,"(44.9629, -93.1402)"
Lexington  Pkwy,09/19/2014,350 Lexington Parkway North,Graffiti,Graffiti in bridge tunnel,54.20,24.50,78.70,"(44.9517, -93.1464)"
Citywide Graffiti,09/22/2014,861 Aldine St,Graffiti,Graffiti on utility box at 861 Aldine,30.17,11.65,41.83,"(44.9671, -93.1722)"
ComoRegional,09/23/2014,1281 W. Como Blvd.,Graffiti,Graffiti on picnic tables,81.30,46.75,128.05,"(44.9776, -93.1539)"
Bruce Vento Sanc,09/23/2014,265 Commerical St,Graffiti,Graffiti on interpretive signsamd porta potty,27.10,12.25,39.35,"(44.9527, -93.0739)"
Boyd Park,09/25/2014,346 Dayton Ave. N.,Graffiti,Graffiti through outthe park,54.20,14.50,68.70,"(44.9473, -93.1146)"
Eastview,09/25/2014,1675 Fifth St. E.,Graffiti,Paint on electrical box,10.09,20.00,30.09,"(44.9596, -93.0296)"
Eastview,09/29/2014,1675 Fifth St. E.,Graffiti,Graffiti on the tennis bang board and park signs,81.30,41.75,123.05,"(44.9596, -93.0296)"
Eastview,09/29/2014,1675 Fifth St. E.,Graffiti,Paint on tot lot,20.18,20.00,40.18,"(44.9596, -93.0296)"
Prospect,10/01/2014,399 Bellows St.,Graffiti,Graffiti on Benches facingthe bluff,54.20,14.50,68.70,"(44.9339, -93.0934)"
Harriet Island Pav,10/01/2014,200 Dr Justice Ohage Blvd,Graffiti,Graffiti on the levee wall entrance,81.30,46.75,128.05,"(44.9368, -93.0975)"
McMurray Field,10/03/2014,1155 W. Jessamine Ave.,Graffiti,Graffiti on the storage pods near the soccer fields,54.20,24.50,78.70,"(44.9739, -93.149)"
Newell Park,10/03/2014,900 N. Fairview Ave.,Graffiti,Graffiti on the building,54.20,44.50,98.70,"(44.968, -93.1759)"
Conway Rec,10/03/2014,2090 Conway Ave.,Graffiti,Graffiti on the pathway,108.40,29.00,137.40,"(44.9558, -93.0122)"
Oxford,10/07/2014,1079 Iglehart Ave,Graffiti,Graffiti on west side of building,57.27,23.90,81.18,"(44.9494, -93.1453)"
Eastview,10/07/2014,1675 Fifth St. E.,Graffiti,Paint on walkways,30.27,20.00,20.00,"(44.9596, -93.0296)"
Lexington Pkwy,10/08/2014,476 Smith Ave,Graffiti,Graffiti on 476 Smith Ave control box,30.17,17.01,47.19,"(44.9374, -93.1091)"
Harriet Island Pav,10/08/2014,200 Dr Justice Ohage Blvd,Graffiti,Graffiti on stone park entrance sign,60.35,28.31,88.66,"(44.9368, -93.0975)"
Highland Pic Pav,10/09/2014,1200 Montreal Ave.,Graffiti,Graffiti on trash barrles and pic tables,27.10,12.25,39.35,"(44.9124, -93.1513)"
Belividere,10/10/2014,291 Belvidere St.,Graffiti,Graffiti throughout the park,27.10,22.25,49.35,"(44.9222, -93.072)"
Eastview,10/13/2014,1675 Fifth St. E.,Graffiti,Graffiti on eastside of building and doors,108.40,49.00,157.40,"(44.9596, -93.0296)"
Bruce Vento,10/13/2014,265 Commerical St,Graffiti,Graffiti on bridge pillars,54.20,24.50,78.70,"(44.9528, -93.0747)"
Eastview,10/14/2014,1675 Fifth St. E.,Graffiti,Graffiti on east doors,54.20,10.00,64.20,"(44.9596, -93.0296)"
Mattocks,10/14/2014,451 Macalester,Graffiti,"Graffiti on table, signs, trash barrels",27.10,12.25,39.35,"(44.9279, -93.1697)"
Newell Park,10/15/2014,900 N. Fairview Ave.,Graffiti,Graffiti on route park sign,162.60,53.50,216.10,"(44.968, -93.1759)"
Frost Lake,10/15/2014,1421 Hoyt Ave E,Graffiti,Marker on tot lot,10.09,20.00,20.00,"(44.9884, -93.0404)"
Edgcumbe,10/20/2014,320 S. Griggs St.,Graffiti,Graffiti on mural by tot lot,54.20,14.50,68.70,"(44.9318, -93.1516)"
Cherokee,10/21/2014,200 Dr Justice Ohage Blvd,Graffiti,Graffiti on benches near the bluff,54.20,24.50,78.70,"(44.9368, -93.0975)"
NW Como,10/21/2014,1550 N. Hamline Ave.,Graffiti,Graffiti on routed sign,54.20,14.50,68.70,"(44.9879, -93.1565)"
Dousman,10/23/2014,186 Dousman St,Graffiti,Graffiti on tot lot,60.35,23.31,83.66,"(44.9359, -93.1124)"
Eastview,10/25/2014,1675 Fifth St. E.,Graffiti,Paint on bang board,20.18,10.00,30.18,"(44.9596, -93.0296)"
Eastview,10/27/2014,1675 Fifth St. E.,Graffiti,Graffiti on north side of building,54.20,14.50,68.70,"(44.9596, -93.0296)"
Daytons Bluff,10/29/2014,800 Conway St.,Graffiti,Graffiti on tot lot,54.20,14.50,68.70,"(44.9556, -93.067)"
Eastview,10/29/2014,1675 Fifth St. E.,Graffiti,Paint on exterior walls,20.18,20.00,40.18,"(44.9596, -93.0296)"
Lexington  Pkwy,11/04/2014,350 Lexington Parkway North,Graffiti,Graffiti in the tunnel,271.67,64.89,336.47,"(44.9517, -93.1464)"
Cherokee,11/06/2014,200 Dr Justice Ohage Blvd,Graffiti,Graffiti on benched and tot lot,181.65,39.93,221.58,"(44.9368, -93.0975)"
Oxford,11/14/2014,1079 Iglehart Ave,Graffiti,Graffiti on the west side of building,325.20,102.00,427.20,"(44.9494, -93.1453)"
Upper Landing,11/19/2014,200 Shepard Rd.,Graffiti,Graffiti on wall near the dog park,60.35,10.31,73.66,"(44.9409, -93.0988)"
Citywide Graffiti,11/21/2014,848 University Ave,Graffiti,Graffiti on 2nd floor porch at 848 University,60.55,23.31,83.86,"(44.9556, -93.136)"
Highland Park,11/22/2014,1247 Montreal Ave.,Graffiti,Graffiti on tot lot and stairwell,60.35,13.31,73.66,"(44.9125, -93.153)"
Lexington Pkwy,11/26/2014,350 Lexington Parkway North,Graffiti,Graffiti in Tunnel,54.20,54.40,108.70,"(44.9517, -93.1464)"
Citywide Graffiti,12/05/2014,1061 Central Ave,Graffiti,Graffiti on sidewalk at 1061 Central Ave,54.20,14.50,68.70,"(44.904397, -93.046847)"
Mattock Park,12/12/2014,451 Macalester,Graffiti,"Graffiti on totlot, table and benches",54.20,13.31,88.66,"(44.9279, -93.1697)"
Cherokee,12/12/2014,700 Cherokee Heights Boulevard,Graffiti,Graffiti on the picnic shelter,54.20,28.31,73.66,"(44.9243, -93.1074)"
Como Lakeside Pavilion,01/05/2015,1360 N Lexington Pkwy,Graffiti,Graffiti in lower level mens restroom,60.35,13.31,73.66,"(44.9820786, -93.1461029)"
Harriet Island Ticket Bldg.Padleford,01/13/2015,Harriet Island,Graffiti,Graffiti on Paddleford ticket wondow,60.35,68.31,128.66,"(44.9372597, -93.098381)"
Citywide Graffiti ,01/13/2015,406 Wacouta St,Graffiti,"Graffiti at 406 Wacouta """"f"""" the police",30.17,11.65,41.83,"(44.9503937, -93.0879517)"
Hidden Falls Regional Park Building,01/15/2015,1313 Hidden Falls Dr,Graffiti,"Graffit ion the building , signs, trash barrels",168.75,51.12,219.87,"(44.9059944, -93.1904831)"
Crosby Regional Park,01/15/2015,35 E & Sheppard Road,Graffiti,Graffiti on signs throughout the parking lot,168.75,51.12,219.87,"(44.9108429, -93.1436996)"
Lilydale Regional Park,01/15/2015,400 Water St,Graffiti,Graffiti on stone entrance sign and SPYC sign,27.10,12.25,39.35,"(44.9202843, -93.1216736)"
High Bridge Park (North Median),01/15/2015,476 N Smith Ave,Graffiti,Graffiti throughout the park,168.75,91.12,259.87,"(44.9373589, -93.1091461)"
Harriet Island Pavilion Wigington,01/15/2015,200 Dr Justice Ohage Blvd,Graffiti,"Graffiti on signs, trash barrels, windows",84.38,35.56,119.94,"(44.937645, -93.0973663)"
Raspberry Island,01/15/2015,2 Wabasha St S,Graffiti,"Graffiti on signs, trash barrels, windows",168.75,41.12,209.87,"(44.942234, -93.0911179)"
Hidden Falls Regional Park Building,01/16/2015,1313 Hidden Falls Dr,Graffiti,Graffiti on picnic shelter,54.20,14.50,68.70,"(44.9059944, -93.1904831)"
Crosby Regional Park,01/16/2015,35 E & Sheppard Road,Graffiti,Graffiti on signs throughout the parking lot,54.20,14.50,68.70,"(44.9108391, -93.1436691)"
Phalen Regional Park,01/16/2015,Wheelock Pkwy & Phalen Dr,Graffiti,Graffiti on the bridge to the boat launch,30.17,11.65,41.83,"(44.9822617, -93.0558243)"
Cherokee Park ,01/21/2015,777 Chippewa St.,Graffiti,Graffiti on he tot lot,90.52,64.97,155.49,"(44.9225731, -93.1071167)"
Mississippi River Blvd,01/21/2015,Mississippi River and St. Clair,Graffiti,Graffiti on bridge near MRB and St. Clair,120.70,6.62,127.32,"(44.9343109, -93.1984024)"
High Bridge Park (North Median),01/21/2015,476 N Smith Ave,Graffiti,Graffiti throughout the park,506.25,133.36,639.61,"(44.9373589, -93.1091461)"
Como Regional Park,01/21/2015,1281 1/2 W Como Blvd,Graffiti,Graffiti on fireplace and fencing in the woodland area,30.17,11.65,41.83,"(44.9793358, -93.1445923)"
Lilydale Regional Park,01/22/2015,400 Water St,Graffiti,Graffiti on the stone entrance sign,30.17,6.65,36.83,"(44.9202843, -93.1216736)"
Lilydale Regional Park,01/22/2015,400 Water St,Graffiti,Graffiti on historic bridge abutment,30.17,11.65,41.83,"(44.9202843, -93.1216736)"
Harriet Island Regional Park Picnic,01/22/2015,50 Harriet Island Rd,Graffiti,Graffiti on park sign,30.17,6.65,36.83,"(44.9401131, -93.0930786)"
Harriet Island Regional Park Picnic,01/22/2015,50 Harriet Island Rd,Graffiti,Graffiti on park sign,30.17,11.65,41.83,"(44.9401131, -93.0930786)"
Harriet Island Pavilion Wigington,01/27/2015,200 Dr Justice Ohage Blvd,Graffiti,Graffiti on the trash dumpster,30.17,6.65,36.83,"(44.9376183, -93.0973282)"
Harriet Island Pavilion Wigington,01/27/2015,200 Dr Justice Ohage Blvd,Graffiti,Graffiti on parking lot poles,30.17,11.65,41.83,"(44.9376755, -93.0973816)"
Mississippi River Blvd,01/28/2015,494 Mississippi River Boulevard,Graffiti,Graffiti on bench across from 494 MRB,57.27,23.90,81.18,"(44.9542389, -93.2065659)"
Lilydale Regional Park,01/29/2015,400 Water St,Graffiti,Graffiti throughout the park,90.52,34.97,125.49,"(44.9202843, -93.1216736)"
Lilydale Regional Park,01/30/2015,400 Water St,Graffiti,Graffiti throughout the park,30.17,11.65,41.83,"(44.9202843, -93.1216736)"
Prospect Park,02/02/2015,Maryland & Ivy,Graffiti,Graffiti on benches,60.35,23.31,83.66,"(44.9341049, -93.0935593)"
High Bridge Park (North Median),02/02/2015,474 N Smith Ave,Graffiti,Graffiti on drinking fountain,30.17,6.65,36.83,"(44.9374275, -93.1092224)"
Harriet Island Pavilion Wigington,02/02/2015,200 Dr Justice Ohage Blvd,Graffiti,Graffiti on Padleford bldg. and pay telephone,114.55,17.81,132.36,"(44.937664, -93.0974121)"
Harriet Island Regional Park Picnic,02/02/2015,50 Harriet Island Rd,Graffiti,Graffiti on levee opening wall,229.10,34.00,263.10,"(44.9401131, -93.0930786)"
Como Picnic Pavilion,02/02/2015,1199 Midway Parkway,Graffiti,Graffiti on picnic shelter,54.20,14.50,68.70,"(44.9790306, -93.1524506)"
Hidden Falls Regional Park Building,02/03/2015,1313 Hidden Falls Dr,Graffiti,Graffiti on park signs,30.17,6.65,36.83,"(44.9059944, -93.1904831)"
Lilydale Boat Landing,02/03/2015,,Graffiti,"Graffiti in parking lots, and on pathways, signs",60.35,33.31,93.66,"(44.9179382, -93.1286087)"
Lilydale Regional Park,02/03/2015,400 Water St,Graffiti,Graffiti on historic bridge abutment,30.17,21.65,51.83,"(44.9202843, -93.1216736)"
Lilydale Regional Park,02/03/2015,400 Water St,Graffiti,graffiti on traffic barriers,30.17,6.65,36.83,"(44.9202843, -93.1216736)"
Lilydale Regional Park,02/03/2015,400 Water St,Graffiti,"Graffiti on sign, light poles, utility boxes",30.17,21.65,51.83,"(44.9202843, -93.1216736)"
Lilydale Regional Park,02/03/2015,400 Water St,Graffiti,Graffiti on stone entrance sign,30.14,11.65,41.83,"(44.9202843, -93.1216736)"
Lilydale Regional Park,02/03/2015,400 Water St,Graffiti,Graffiti on guard rails,30.17,11.65,41.83,"(44.9202843, -93.1216736)"
Lilydale Regional Park,02/03/2015,400 Water St,Graffiti,"Graffiti in parking lots, and on pathways, signs",30.17,26.65,56.83,"(44.9202843, -93.1216736)"
Lilydale Regional Park,02/03/2015,400 Water St,Graffiti,Graffiti on stone entrance sign,60.35,23.31,83.66,"(44.9202843, -93.1216736)"
Lilydale Regional Park,02/03/2015,400 Water St,Graffiti,Graffiti on historic bridge abutment,120.70,46.62,167.32,"(44.9202843, -93.1216736)"
Lilydale Regional Park,02/03/2015,400 Water St,Graffiti,"Graffiti in parking lots, and on pathways, signs",30.17,21.65,51.83,"(44.9202843, -93.1216736)"
Lilydale Regional Park,02/03/2015,400 Water St,Graffiti,"Graffiti in parking lots, and on pathways, signs",60.35,13.31,73.66,"(44.9202843, -93.1216736)"
Cherokee Boulevard,02/03/2015,Cherokee Boulevard,Graffiti,Graffiti on restroom building,60.35,13.31,73.66,"(44.9224434, -93.1074753)"
Harriet Island Regional Park Picnic,02/03/2015,50 Harriet Island Rd,Graffiti,Grafiti on pathway,30.17,11.65,41.83,"(44.9401131, -93.0930786)"
Harriet Island Regional Park Picnic,02/03/2015,50 Harriet Island Rd,Graffiti,Graffiti on xcel electrical box,30.17,6.65,36.83,"(44.9401131, -93.0930786)"
Two River Overlook,02/09/2015,Shepard Rd & Hwy 5,Graffiti,Graffiti on art sculptures,54.20,14.50,68.70,"(44.8957443, -93.1786575)"
Hidden Falls Regional Park Building,02/09/2015,1313 Hidden Falls Dr,Graffiti,Graffiti on wood retainiung wall,54.20,14.50,68.70,"(44.9059944, -93.1904831)"
Lilydale Regional Park,02/09/2015,400 Water St,Graffiti,"Graffiti in parking lots, and on pathways, signs",162.60,38.50,201.10,"(44.9202843, -93.1216736)"
Citywide Graffiti ,02/10/2015,Battle Creek Rd and Lower Afton,Graffiti,Graffiti on barrier at Battle Creek Rd and Lower Afton,30.17,11.65,41.83,"(44.9305496, -93.0171967)"
Linwood Recreation Center,02/10/2015,860 St Clair Ave,Graffiti,Graffiti on tennis bang board,30.17,11.65,41.83,"(44.9340782, -93.1364365)"
Lilydale Regional Park,02/12/2015,400 Water St,Graffiti,"Graffiti in parking lots, and on pathways, signs",216.78,58.00,274.80,"(44.9202843, -93.1216736)"
Mississippi River Blvd,02/14/2015,Mississippi River Boulevard,Graffiti,"Graffiti in parking lots, and on pathways, signs MRB at Ford Dam",54.20,24.50,78.70,
Mississippi River Blvd,02/14/2015,Mississippi River Boulevard,Graffiti,Graffiti at 35E Tunnel near Crosby,54.20,29.50,83.70,"(44.9088249, -93.143364)"
Lilydale Regional Park,02/14/2015,400 Water St,Graffiti,"Graffiti in parking lots, and on pathways, signs",54.20,24.50,78.70,"(44.9202843, -93.1216736)"
Mississippi River Blvd,02/14/2015,Mississippi River and Summit,Graffiti,"Graffiti in parking lots, and on pathways, signs MRB at Summit",54.20,34.50,88.70,"(44.9413567, -93.1977997)"
Harriet Island Pavilion Wigington,02/18/2015,200 Dr Justice Ohage Blvd,Graffiti,Graffiti on xcel electrical box,57.27,53.90,111.18,"(44.9376488, -93.0973358)"
Mississippi River Blvd,02/24/2015,Mississippi River Boulevard,Graffiti,"Graffiti in parking lots, and on pathways, signs MRB at Summit to 35E",343.65,83.43,427.08,
Lilydale Boat Launch,02/24/2015,,Graffiti,Graffiti on park signs,27.10,12.25,39.35,"(44.9179535, -93.1286469)"
Lilydale Regional Park,02/24/2015,400 Water St,Graffiti,"Graffiti in parking lots, and on pathways, signs",114.55,27.81,142.36,"(44.9202843, -93.1216736)"
